,id,tweet_text,created_at,source,public_metrics,language,retweet_count,reply_count,like_count,quote_count
0,1516968257428889600,Did anyone else catch why Noi posts on social media?  Cause she wasn’t able to express her emotions when she was younger. #MarriedAtFirstSight,2022-04-21 02:33:11+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
1,1516968211790503936,Farewell #Afterparty ! Congratulations on a good first season @peachespulliam ! #MAFS #MAFSBoston #mafs14 #MarriedAtFirstSight https://t.co/hj700dmbOl,2022-04-21 02:33:00+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,0,0,1,0
2,1516968183529455616,Michael and Jasmina would make good…friends. #MAFSBoston #MAFS #MarriedAtFirstSightBoston #MarriedAtFirstSight https://t.co/9ih30UmDqL,2022-04-21 02:32:53+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
3,1516968163531010049,How long is this season??? #MAFS #MarriedAtFirstSightBoston #MarriedAtFirstSight,2022-04-21 02:32:48+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
4,1516968132157526017,"RT @Jessica_Tribble: Katina’s patience is unbelievable. 

I couldn’t imagine talking to Olajuwon for more than 3 minutes. 

#MAFS #MarriedA…",2022-04-21 02:32:41+00:00,Twitter for iPhone,"{'retweet_count': 14, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,14,0,0,0
5,1516968099567874048,RT @DocBongiPhD: #Olajuwon’s ignorance and self righteousness is such a huge problem. #Marriage requires 100% from the #husband and #wife #…,2022-04-21 02:32:33+00:00,Twitter for iPhone,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,1,0,0,0
6,1516968078369775618,"@SassyCritic @TXBossBabe41 @PrincessKnightD @BdayQueenFeb13 @DaveFlame45 @MAFSLifetime @Kimmnng @StaceyWeikel @carrieleelily @dreamcatch27 @b_altima9876 @mzaliz @rj1975 @Spanx41 @Themrsshaw888 @lifetimetv Lindsey also invades his personal space a lot. Being his spouse doesn’t mean she gets to grab Mark’s face when she wants, and she seems so rough. She has no boundaries. 

#MarriedAtFirstSight #MAFS",2022-04-21 02:32:28+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",en,0,0,2,0
7,1516968077518327810,"RT @PlaineBlaine: Katina has aged 15 years in one month being married to Olajuwon. Girl, leave him!!!! #MAFS #MarriedAtFirstSight https://t…",2022-04-21 02:32:28+00:00,Twitter for Android,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,3,0,0,0
8,1516968076402737153,! literally makes the viewing experience so much better #MarriedAtFirstSight #mafs https://t.co/7atmQfOHu6,2022-04-21 02:32:27+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",en,0,0,3,0
9,1516968056060362754,Hold up… Dr Pepper lives separate from her second marriage and she is giving advice to Steve and Noi?? I’m not a fan. #MarriedAtFirstSight,2022-04-21 02:32:23+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
10,1516968035785097216,"What’s so interesting to me, which I didn’t realize until she was reading her letter this week, is Lindsey is so open about her past trauma but it doesn’t feel like she’s tapped into vulnerability #MarriedAtFirstSight",2022-04-21 02:32:18+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
11,1516967997310746624,“So were you like popular?” … Noi’s important question of Steve’s childhood. 🤦🏻‍♀️ every episode she gets on my never more &amp; more. Anyone else? #MarriedAtFirstSight #MAFS #MAFSBoston,2022-04-21 02:32:09+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,0,0,1,0
12,1516967952666484736,Not even 2 second!? Plan is on is a Selfish SOB! #MarriedAtFirstSight https://t.co/fKyW01Kq47,2022-04-21 02:31:58+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
13,1516967947595661312,I must say tweeting with y’all is the highlight of these season lol I literally lol…Twitter doesn’t allow “duplicate tweets” but my 🤣🤣 are really real!! #Mafs #Marriedatfirstsight,2022-04-21 02:31:57+00:00,Echofon,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",en,0,0,2,1
14,1516967944135319554,"The rest of the cast make it seem like Olajuwon is kind of a nice guy. Glimpses of this make me wonder if he just gets a bad edit on the show. It’s possible he’s a good friend. He just isn’t a good husband.

#MAFS #MarriedAtFirstSight #MAFSAfterParty",2022-04-21 02:31:56+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
15,1516967898736173056,Katina can finish school and hold off on children a little longer. NOT DIVORCE HER. #MarriedAtFirstSight,2022-04-21 02:31:45+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
16,1516967890188222466,😂😂😂😂😂😂😂 #MAFS #MarriedAtFirstSight https://t.co/dMU037ZlZK,2022-04-21 02:31:43+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",und,0,0,0,0
17,1516967874346332160,RT @For_bittenFruit: I want Michael and Jasmina to work so bad 😩 #MarriedAtFirstSight #MAFS,2022-04-21 02:31:39+00:00,Twitter for iPhone,"{'retweet_count': 5, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,5,0,0,0
18,1516967874291593217,I feel that Katina and Steve would've been a better match.  #MAFS #MarriedAtFirstSight #MarriedAtFirstSightBoston,2022-04-21 02:31:39+00:00,Twitter for Android,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",en,0,0,1,0
19,1516967828066291714,Olaj is an asshole .. him and Lindsey need to be together since they so stable.. and have life figured out .. its annoying as fuck #Marriedatfirstsight,2022-04-21 02:31:28+00:00,Twitter for iPhone,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
20,1516967796630073344,Just when I was feeling empathy for Noi...  How in the hell are you wanting to have a baby in a year but still talking about living seperately?  #MarriedAtFirstSight https://t.co/VD3KnVk0st,2022-04-21 02:31:21+00:00,Twitter Web App,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",en,0,0,0,0
